"boletos_vendidos";"ingresos_totales";"ganancias_totales";"cluster"
153;7548.16;5141.88;"cluster_1"
32;10781.01;4837.17;"cluster_1"
172;18526.61;4462.79;"cluster_2"
279;11936.21;7346.49;"cluster_2"
51;6198.66;2905.39;"cluster_1"
313;9808.27;4445.92;"cluster_1"
239;8828.34;6269.77;"cluster_1"
213;23609.63;7463.77;"cluster_0"
89;13172.26;4974.74;"cluster_2"
47;2927.8;7322.12;"cluster_1"
213;19176.48;6605.23;"cluster_2"
269;16512.65;6915.98;"cluster_2"
177;13018.92;2083.31;"cluster_2"
238;22324.71;8025.02;"cluster_0"
312;11034.96;731.45;"cluster_1"
289;4160.01;7347.35;"cluster_1"
209;27302.62;1410.5;"cluster_0"
31;28501.83;987.13;"cluster_0"
152;23049.58;957.88;"cluster_0"
133;13226.89;2983.55;"cluster_2"
275;26117.46;4561.75;"cluster_0"
29;8356.22;2749.77;"cluster_1"
253;21296.16;8094.61;"cluster_2"
62;7139.85;5397.91;"cluster_1"
189;13377.01;1121.49;"cluster_2"
269;28563.17;5599.84;"cluster_0"
31;3926.88;3947.53;"cluster_1"
80;11736.28;1422.2;"cluster_1"
271;9191.2;4399.68;"cluster_1"
318;22410.95;6477.66;"cluster_0"
220;7071.51;5410.24;"cluster_1"
197;29379.47;5880.72;"cluster_0"
246;8817.41;656.0;"cluster_1"
186;10429.18;3896.76;"cluster_1"
291;14036.37;2835.81;"cluster_2"
141;22295.19;8333.17;"cluster_0"
184;19301.87;2953.51;"cluster_2"
181;9482.49;6635.18;"cluster_1"
172;19896.65;864.2;"cluster_2"
92;15699.65;2466.68;"cluster_2"
208;9152.7;2030.08;"cluster_1"
153;9652.93;7945.1;"cluster_1"
155;11963.31;2839.56;"cluster_2"
81;16352.07;689.14;"cluster_2"
174;14877.1;5720.06;"cluster_2"
223;14058.7;678.13;"cluster_2"
220;10072.75;3854.09;"cluster_1"
141;18728.33;8226.97;"cluster_2"
143;14672.81;8424.83;"cluster_2"
107;4759.53;608.27;"cluster_1"
187;16724.86;1150.65;"cluster_2"
148;19221.18;878.56;"cluster_2"
315;17221.67;8207.22;"cluster_2"
159;16742.05;5798.15;"cluster_2"
77;11593.38;8334.03;"cluster_1"
271;30180.6;3652.88;"cluster_0"
90;2653.05;6937.2;"cluster_1"
216;5480.17;1417.64;"cluster_1"
147;19443.79;7180.17;"cluster_2"
63;20673.93;7838.59;"cluster_2"
33;28123.32;2581.15;"cluster_0"
47;18201.01;2181.74;"cluster_2"
102;19890.99;6771.81;"cluster_2"
78;16434.03;4485.7;"cluster_2"
148;8919.76;2621.35;"cluster_1"
81;21386.3;6598.19;"cluster_2"
39;17366.38;578.33;"cluster_2"
25;28347.53;4596.55;"cluster_0"
71;13901.41;2502.86;"cluster_2"
33;31490.24;8448.58;"cluster_0"
53;24076.73;5664.53;"cluster_0"
263;19190.89;1149.4;"cluster_2"
286;14823.02;4096.71;"cluster_2"
119;21800.44;3191.42;"cluster_2"
189;27342.85;7558.53;"cluster_0"
129;23234.04;922.85;"cluster_0"
295;10572.82;7981.08;"cluster_1"
212;7908.56;3966.14;"cluster_1"
56;8502.02;7910.29;"cluster_1"
220;30290.03;3336.65;"cluster_0"
272;9540.11;3787.86;"cluster_1"
272;29647.77;1163.65;"cluster_0"
220;27323.97;1779.72;"cluster_0"
227;26190.6;8431.09;"cluster_0"
121;5697.98;3232.34;"cluster_1"
189;28506.56;2557.94;"cluster_0"
47;5686.6;2435.09;"cluster_1"
51;18315.07;4806.49;"cluster_2"
122;3052.83;5400.64;"cluster_1"
142;31511.73;1083.73;"cluster_0"
272;14925.75;2518.79;"cluster_2"
80;29401.6;7843.78;"cluster_0"
30;29921.56;2453.31;"cluster_0"
168;23112.15;5693.0;"cluster_0"
108;23937.56;5325.68;"cluster_0"
73;23542.33;4709.88;"cluster_0"
137;2124.49;3527.58;"cluster_1"
25;23569.48;2398.99;"cluster_0"
62;11674.54;6090.33;"cluster_1"
319;17026.74;2275.08;"cluster_2"
305;25235.29;7074.57;"cluster_0"
59;31310.08;4564.6;"cluster_0"
289;28325.3;1320.73;"cluster_0"
227;26980.7;2767.01;"cluster_0"
263;10147.28;3315.22;"cluster_1"
162;28307.18;6533.98;"cluster_0"
114;20167.93;6448.3;"cluster_2"
313;14883.8;4264.57;"cluster_2"
137;27567.46;1478.78;"cluster_0"
99;25192.83;3536.51;"cluster_0"
107;13086.8;7864.0;"cluster_2"
224;28777.2;6378.28;"cluster_0"
225;31838.1;1914.6;"cluster_0"
175;19952.67;7981.48;"cluster_2"
193;29072.53;1630.47;"cluster_0"
299;29942.73;5929.18;"cluster_0"
63;18441.36;8330.72;"cluster_2"
228;11893.33;2255.3;"cluster_2"
232;16993.4;2025.14;"cluster_2"
219;11095.87;4258.4;"cluster_1"
222;5430.7;1975.55;"cluster_1"
271;27412.18;3251.0;"cluster_0"
119;7627.42;8183.06;"cluster_1"
75;16648.12;6982.84;"cluster_2"
88;24146.96;5580.23;"cluster_0"
83;14916.03;8297.62;"cluster_2"
220;30749.62;1444.96;"cluster_0"
100;30724.42;5441.2;"cluster_0"
138;28244.88;6734.26;"cluster_0"
251;12160.4;1984.84;"cluster_2"
193;7133.08;3929.53;"cluster_1"
26;8639.56;506.53;"cluster_1"
120;21133.14;6863.54;"cluster_2"
252;7100.95;541.71;"cluster_1"
75;7081.16;6063.74;"cluster_1"
248;7121.57;6510.16;"cluster_1"
199;26307.78;4282.75;"cluster_0"
44;25007.34;747.5;"cluster_0"
171;31778.14;6424.29;"cluster_0"
268;23154.42;1442.4;"cluster_0"
161;14686.49;5522.58;"cluster_2"
154;9824.67;3742.76;"cluster_1"
216;22389.96;5667.95;"cluster_0"
65;5060.21;1397.96;"cluster_1"
212;29952.83;5939.31;"cluster_0"
277;25092.35;2158.17;"cluster_0"
224;22778.6;1751.87;"cluster_0"
295;19094.41;2984.36;"cluster_2"
225;11379.92;4850.74;"cluster_1"
274;18048.74;3990.63;"cluster_2"
40;30743.16;1765.57;"cluster_0"
138;6100.73;6847.24;"cluster_1"
158;25439.02;3980.48;"cluster_0"
313;11311.75;2059.72;"cluster_1"
145;28489.12;6393.71;"cluster_0"
215;20339.79;8401.88;"cluster_2"
95;3600.38;5344.67;"cluster_1"
226;15014.67;1857.67;"cluster_2"
174;16432.11;3669.94;"cluster_2"
317;24402.47;2375.94;"cluster_0"
261;13223.28;2357.17;"cluster_2"
141;3002.9;8062.19;"cluster_1"
219;7159.15;4744.12;"cluster_1"
98;23091.95;2631.71;"cluster_0"
86;23127.74;2847.37;"cluster_0"
233;19627.54;663.19;"cluster_2"
238;10804.84;6356.36;"cluster_1"
52;31482.91;622.07;"cluster_0"
228;12818.77;8316.44;"cluster_2"
258;27415.96;5483.44;"cluster_0"
72;24281.26;2547.32;"cluster_0"
193;24079.73;6650.32;"cluster_0"
43;21271.2;3767.88;"cluster_2"
252;19932.19;1571.97;"cluster_2"
211;11195.37;870.09;"cluster_1"
174;12613.89;991.94;"cluster_2"
139;24986.58;942.23;"cluster_0"
195;14221.88;6691.79;"cluster_2"
225;12516.45;3450.92;"cluster_2"
156;27775.47;2185.05;"cluster_0"
40;29365.22;7208.77;"cluster_0"
160;24175.9;8137.91;"cluster_0"
278;6671.25;7809.18;"cluster_1"
47;10329.4;1069.79;"cluster_1"
298;21113.52;3039.9;"cluster_2"
151;26537.14;7008.05;"cluster_0"
224;7204.76;2396.78;"cluster_1"
114;29417.57;1494.72;"cluster_0"
165;3906.04;7111.09;"cluster_1"
122;24988.34;2784.24;"cluster_0"
76;8315.82;2238.49;"cluster_1"
61;2220.89;2423.41;"cluster_1"
271;16471.33;7702.14;"cluster_2"
284;15449.97;2020.03;"cluster_2"
202;9229.34;2603.97;"cluster_1"
169;10906.49;4257.63;"cluster_1"
149;20960.39;8168.38;"cluster_2"
211;16321.67;1791.46;"cluster_2"
35;14680.31;7952.54;"cluster_2"
44;18304.74;5706.94;"cluster_2"
311;14327.79;624.26;"cluster_2"
246;5634.96;4462.79;"cluster_1"
153;16840.81;2971.87;"cluster_2"
127;15967.43;8018.73;"cluster_2"
250;3608.89;1331.81;"cluster_1"
276;20947.48;5715.52;"cluster_2"
203;6312.32;4762.82;"cluster_1"
41;2104.26;751.03;"cluster_1"
28;14667.57;3182.43;"cluster_2"
83;16078.69;544.13;"cluster_2"
236;2726.38;5363.94;"cluster_1"
285;16861.43;5812.06;"cluster_2"
200;18130.17;6548.84;"cluster_2"
162;8524.62;5260.45;"cluster_1"
49;26851.22;5992.89;"cluster_0"
187;20008.08;2869.55;"cluster_2"
45;15879.73;6983.54;"cluster_2"
297;25436.86;8071.54;"cluster_0"
21;17377.76;6488.41;"cluster_2"
212;9387.23;5947.93;"cluster_1"
111;30530.57;2481.22;"cluster_0"
304;22077.46;4622.39;"cluster_0"
291;25449.51;2901.27;"cluster_0"
134;20181.53;6040.7;"cluster_2"
299;6104.05;1963.5;"cluster_1"
319;26879.79;2243.7;"cluster_0"
255;15854.45;5942.31;"cluster_2"
175;3446.28;4002.38;"cluster_1"
185;8691.51;7793.94;"cluster_1"
294;22511.87;7528.89;"cluster_0"
277;7996.3;5543.72;"cluster_1"
289;3772.38;1923.84;"cluster_1"
61;4700.31;704.25;"cluster_1"
289;7679.18;6713.16;"cluster_1"
113;17549.63;846.5;"cluster_2"
312;5838.9;2276.46;"cluster_1"
179;17950.04;6622.56;"cluster_2"
192;19682.34;6034.61;"cluster_2"
307;2547.64;8325.85;"cluster_1"
118;20748.86;4180.0;"cluster_2"
319;19364.28;4028.14;"cluster_2"
132;9175.99;4758.58;"cluster_1"
100;17825.12;2666.11;"cluster_2"
171;27071.97;5177.5;"cluster_0"
113;23476.47;3612.18;"cluster_0"
229;31009.51;3472.21;"cluster_0"
269;20505.09;6104.82;"cluster_2"
91;25661.84;1013.3;"cluster_0"
294;10776.15;7629.81;"cluster_1"
22;6305.14;2638.79;"cluster_1"
296;12995.4;7707.84;"cluster_2"
43;3759.0;7191.16;"cluster_1"
229;23409.24;742.51;"cluster_0"
250;3016.73;5261.66;"cluster_1"
90;23258.04;1660.02;"cluster_0"
303;26359.48;6651.24;"cluster_0"
157;18952.05;1272.41;"cluster_2"
100;27436.27;6071.21;"cluster_0"
233;6456.21;530.7;"cluster_1"
21;18399.71;4865.51;"cluster_2"
272;21168.98;843.95;"cluster_2"
43;16188.54;5809.17;"cluster_2"
310;5423.82;8089.2;"cluster_1"
282;20981.41;7625.65;"cluster_2"
204;5545.0;6332.33;"cluster_1"
246;24701.19;4716.29;"cluster_0"
53;8298.48;1734.72;"cluster_1"
224;9897.66;7980.64;"cluster_1"
38;9426.34;1112.15;"cluster_1"
122;29514.61;6415.07;"cluster_0"
311;14635.46;7604.88;"cluster_2"
182;18410.99;2379.59;"cluster_2"
72;7486.91;2508.14;"cluster_1"
94;4127.52;1159.52;"cluster_1"
20;10211.73;4501.88;"cluster_1"
261;3417.3;1787.13;"cluster_1"
66;10662.35;5415.24;"cluster_1"
303;11697.51;2881.85;"cluster_1"
49;10320.13;5621.07;"cluster_1"
233;10787.84;4252.67;"cluster_1"
114;25387.51;7156.81;"cluster_0"
243;29186.45;3453.82;"cluster_0"
244;7319.55;2498.9;"cluster_1"
227;18018.34;3808.64;"cluster_2"
42;2512.91;4914.3;"cluster_1"
167;9443.81;3326.17;"cluster_1"
139;22418.25;6315.82;"cluster_0"
101;16236.6;2191.78;"cluster_2"
243;28669.55;3732.62;"cluster_0"
107;23403.72;1772.39;"cluster_0"
34;30074.69;5633.35;"cluster_0"
134;15954.15;2160.86;"cluster_2"
287;25416.95;1044.55;"cluster_0"
252;15366.82;4148.47;"cluster_2"
93;4336.67;8198.04;"cluster_1"
265;28585.83;7195.18;"cluster_0"
52;19279.19;7051.9;"cluster_2"
234;12266.75;2259.71;"cluster_2"
137;16080.67;1274.97;"cluster_2"
223;5787.3;3019.5;"cluster_1"
162;23202.86;5373.56;"cluster_0"
65;19545.22;5880.19;"cluster_2"
273;2971.12;4585.88;"cluster_1"
225;7002.34;8298.33;"cluster_1"
96;15164.59;2662.66;"cluster_2"
187;28975.49;8324.27;"cluster_0"
259;13877.04;8005.35;"cluster_2"
47;10986.23;5494.59;"cluster_1"
296;8182.7;6327.02;"cluster_1"
293;9005.26;6012.26;"cluster_1"
161;5284.6;1970.79;"cluster_1"
20;6326.76;7768.02;"cluster_1"
142;13014.43;4595.77;"cluster_2"
61;12551.43;5449.22;"cluster_2"
302;5274.13;6093.97;"cluster_1"
116;14737.57;6194.19;"cluster_2"
38;19103.07;6912.8;"cluster_2"
224;28680.83;4277.94;"cluster_0"
261;6075.19;6445.75;"cluster_1"
83;5320.82;6368.55;"cluster_1"
75;24938.35;7892.17;"cluster_0"
36;17537.87;8019.53;"cluster_2"
140;10266.3;5255.0;"cluster_1"
56;9297.91;6006.0;"cluster_1"
187;31678.02;4598.07;"cluster_0"
258;5490.59;6329.22;"cluster_1"
68;13655.15;5452.41;"cluster_2"
167;27767.01;2331.96;"cluster_0"
298;13732.07;4455.29;"cluster_2"
318;27693.22;3754.07;"cluster_0"
42;12658.92;7268.43;"cluster_2"
50;14439.68;976.79;"cluster_2"
27;2318.27;2566.72;"cluster_1"
182;6248.25;3121.14;"cluster_1"
308;25865.44;6365.29;"cluster_0"
246;26268.78;1506.64;"cluster_0"
146;25248.76;7418.17;"cluster_0"
29;2036.51;5805.03;"cluster_1"
68;9524.21;4410.58;"cluster_1"
181;23669.44;5515.35;"cluster_0"
108;16410.96;6310.69;"cluster_2"
123;20550.66;2772.12;"cluster_2"
271;30895.4;3133.92;"cluster_0"
121;26734.66;7389.55;"cluster_0"
88;17970.62;7428.93;"cluster_2"
129;11605.66;5939.28;"cluster_1"
74;26722.01;2342.21;"cluster_0"
28;24869.19;797.17;"cluster_0"
146;30618.7;6002.07;"cluster_0"
170;6245.38;6473.66;"cluster_1"
183;6147.85;6538.11;"cluster_1"
50;21396.94;7223.65;"cluster_2"
250;7009.47;5553.79;"cluster_1"
54;6724.54;3268.19;"cluster_1"
163;4600.09;2452.75;"cluster_1"
306;23384.68;1171.09;"cluster_0"
80;28002.98;8498.21;"cluster_0"
145;10402.9;4153.56;"cluster_1"
41;20580.21;3551.06;"cluster_2"
289;31182.9;7888.03;"cluster_0"
184;19521.87;3801.53;"cluster_2"
294;29700.15;6780.09;"cluster_0"
243;23614.17;1341.48;"cluster_0"
166;19874.85;4528.74;"cluster_2"
206;16170.75;6587.63;"cluster_2"
310;12308.68;5764.92;"cluster_2"
34;29765.24;7642.22;"cluster_0"
284;19704.43;5385.37;"cluster_2"
261;23601.59;6140.88;"cluster_0"
258;16728.28;4445.7;"cluster_2"
103;24548.8;555.18;"cluster_0"
96;4925.3;4544.62;"cluster_1"
41;5510.37;5514.94;"cluster_1"
124;12425.52;5801.31;"cluster_2"
191;6446.3;4054.14;"cluster_1"
133;17291.1;1151.93;"cluster_2"
181;21340.12;3846.12;"cluster_2"
262;5731.5;2702.66;"cluster_1"
52;13582.31;2592.59;"cluster_2"
70;5271.71;1789.59;"cluster_1"
251;26233.76;1370.82;"cluster_0"
226;28286.49;5839.46;"cluster_0"
68;23928.45;596.12;"cluster_0"
62;27710.74;3644.19;"cluster_0"
24;15405.83;6483.28;"cluster_2"
281;29881.24;1701.61;"cluster_0"
195;17703.15;4401.68;"cluster_2"
64;5531.53;1349.57;"cluster_1"
73;16630.0;5228.04;"cluster_2"
204;26390.87;3277.25;"cluster_0"
212;6034.52;1789.24;"cluster_1"
181;22422.07;2280.26;"cluster_0"
65;6751.25;1714.1;"cluster_1"
112;30035.71;3837.86;"cluster_0"
120;7539.08;7002.54;"cluster_1"
250;5321.5;3880.97;"cluster_1"
109;4907.44;5263.31;"cluster_1"
124;27154.21;3173.36;"cluster_0"
60;12082.73;7955.03;"cluster_2"
264;30404.21;1794.41;"cluster_0"
295;31044.42;5888.78;"cluster_0"
114;23337.52;8050.27;"cluster_0"
38;17644.69;1829.16;"cluster_2"
291;17680.26;4414.13;"cluster_2"
157;3674.95;542.97;"cluster_1"
74;11364.07;7501.64;"cluster_1"
59;25445.64;6540.11;"cluster_0"
157;17527.76;5235.01;"cluster_2"
60;9285.92;8455.33;"cluster_1"
223;24499.12;2700.89;"cluster_0"
61;25904.19;7964.43;"cluster_0"
175;25824.26;4073.49;"cluster_0"
254;21746.87;2147.86;"cluster_2"
29;10911.9;3381.37;"cluster_1"
213;18658.06;4217.14;"cluster_2"
256;18888.42;2826.23;"cluster_2"
170;16199.26;2100.09;"cluster_2"
208;20137.67;5671.49;"cluster_2"
130;15967.19;763.01;"cluster_2"
256;18371.68;7751.25;"cluster_2"
117;6678.52;7634.51;"cluster_1"
139;14509.36;4330.16;"cluster_2"
20;6975.02;2307.74;"cluster_1"
67;5404.49;984.45;"cluster_1"
237;11887.05;5886.06;"cluster_2"
81;28542.52;7071.51;"cluster_0"
240;19242.4;4146.15;"cluster_2"
114;18705.86;1716.87;"cluster_2"
151;31625.47;1555.74;"cluster_0"
70;12525.05;6218.83;"cluster_2"
55;21919.24;6237.0;"cluster_0"
304;26673.37;600.28;"cluster_0"
125;18211.9;756.67;"cluster_2"
276;19592.35;8459.42;"cluster_2"
76;17144.11;5391.46;"cluster_2"
130;17499.8;3839.68;"cluster_2"
182;9367.23;6240.85;"cluster_1"
123;23818.09;6990.62;"cluster_0"
114;12559.04;2643.46;"cluster_2"
241;15587.66;6267.73;"cluster_2"
169;11390.41;5624.73;"cluster_1"
288;2185.59;6737.43;"cluster_1"
73;20018.74;4529.58;"cluster_2"
197;28584.84;7547.6;"cluster_0"
282;4646.88;7261.75;"cluster_1"
140;31497.38;6339.77;"cluster_0"
75;5020.97;7432.4;"cluster_1"
230;6530.27;2462.11;"cluster_1"
48;16380.45;7867.35;"cluster_2"
96;19506.65;4887.26;"cluster_2"
306;16473.78;6499.03;"cluster_2"
246;7321.83;6840.03;"cluster_1"
24;13351.05;6988.28;"cluster_2"
26;13900.95;4427.27;"cluster_2"
169;10067.97;8474.21;"cluster_1"
166;8098.26;738.84;"cluster_1"
203;16796.06;4399.73;"cluster_2"
107;15722.07;1472.57;"cluster_2"
192;25688.63;6999.25;"cluster_0"
177;17419.72;5618.2;"cluster_2"
35;13490.4;5362.12;"cluster_2"
23;31767.28;1344.65;"cluster_0"
215;14462.19;1814.01;"cluster_2"
143;23249.05;7845.32;"cluster_0"
98;26301.3;601.68;"cluster_0"
221;11284.58;8341.25;"cluster_1"
32;25707.05;4521.22;"cluster_0"
128;16746.34;4291.93;"cluster_2"
234;12560.87;5419.1;"cluster_2"
288;14283.12;6172.4;"cluster_2"
288;14517.98;8208.71;"cluster_2"
254;3713.53;6222.87;"cluster_1"
56;7919.65;7218.95;"cluster_1"
52;22693.13;7323.93;"cluster_0"
306;5088.33;4066.77;"cluster_1"
223;17447.67;929.06;"cluster_2"
235;18216.95;586.41;"cluster_2"
113;7384.98;1181.48;"cluster_1"
236;29525.1;3582.34;"cluster_0"
183;24388.44;3993.94;"cluster_0"
166;18577.93;4892.62;"cluster_2"
295;19677.72;7164.03;"cluster_2"
225;27041.56;2510.76;"cluster_0"
92;22084.16;5352.9;"cluster_0"
182;13185.61;4940.8;"cluster_2"
195;12369.3;7704.28;"cluster_2"
208;4863.48;4022.36;"cluster_1"
268;12158.76;7440.94;"cluster_2"
23;28429.67;1375.14;"cluster_0"
253;31250.65;4945.72;"cluster_0"
143;19908.44;6335.72;"cluster_2"
25;5583.18;6203.51;"cluster_1"
304;26663.47;6829.86;"cluster_0"
24;29701.92;6641.4;"cluster_0"
228;26203.16;3153.52;"cluster_0"
106;17643.49;6476.3;"cluster_2"
25;14756.12;1432.3;"cluster_2"
318;23065.73;4902.88;"cluster_0"
306;28477.39;6065.36;"cluster_0"
125;15499.09;5235.11;"cluster_2"
95;4229.68;4770.3;"cluster_1"
223;26277.26;2063.09;"cluster_0"
89;14018.74;7328.96;"cluster_2"
93;17424.27;2620.58;"cluster_2"
278;5768.54;1426.15;"cluster_1"
214;21346.85;5328.22;"cluster_2"
187;23553.25;6345.37;"cluster_0"
104;31059.02;3848.82;"cluster_0"
107;20227.84;3109.95;"cluster_2"
176;3596.12;3008.53;"cluster_1"
170;29727.1;6575.33;"cluster_0"
227;5072.69;3445.12;"cluster_1"
130;17446.11;5910.41;"cluster_2"
293;11620.71;4418.12;"cluster_1"
164;25278.47;6061.19;"cluster_0"
166;4710.58;2065.44;"cluster_1"
146;24862.58;571.4;"cluster_0"
48;26889.33;5782.38;"cluster_0"
315;18267.41;4609.16;"cluster_2"
312;18564.11;862.82;"cluster_2"
265;22185.49;1375.38;"cluster_0"
107;7081.98;7911.29;"cluster_1"
80;25010.87;7058.42;"cluster_0"
118;9375.25;2583.03;"cluster_1"
272;8569.04;2186.46;"cluster_1"
260;20131.35;1433.36;"cluster_2"
205;22211.23;2144.13;"cluster_0"
308;6057.78;4468.23;"cluster_1"
76;8945.84;7139.22;"cluster_1"
93;26030.61;1358.14;"cluster_0"
202;3511.5;851.97;"cluster_1"
45;16600.79;617.27;"cluster_2"
297;4875.25;1394.97;"cluster_1"
227;16030.14;3841.26;"cluster_2"
62;30981.04;6839.05;"cluster_0"
86;7728.96;2579.34;"cluster_1"
245;13080.68;3737.76;"cluster_2"
242;19248.94;5334.22;"cluster_2"
284;28238.21;5811.11;"cluster_0"
88;16650.83;5401.4;"cluster_2"
253;21869.2;3337.66;"cluster_0"
200;18007.83;6757.42;"cluster_2"
85;16733.78;5426.39;"cluster_2"
112;3858.53;1742.51;"cluster_1"
31;18992.53;1932.86;"cluster_2"
201;23547.0;3759.56;"cluster_0"
178;3621.01;6442.54;"cluster_1"
291;23583.86;7517.36;"cluster_0"
65;15890.23;4514.12;"cluster_2"
146;4067.37;7214.83;"cluster_1"
202;5370.48;912.65;"cluster_1"
48;26406.99;2219.77;"cluster_0"
115;16354.42;7248.0;"cluster_2"
106;28241.27;8431.07;"cluster_0"
107;3380.67;1119.64;"cluster_1"
152;6801.24;1862.53;"cluster_1"
138;15703.3;4140.25;"cluster_2"
123;28133.92;7543.69;"cluster_0"
